Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,141.8,143.65,141.8,143.575,1.7,143.325,4555.0,22655.0
2019-11-26,142.1,142.4,140.75,141.825,0.35,141.625,3676.0,22466.0
2019-11-25,139.875,143.3,139.625,141.95,2.7,141.975,8347.0,23480.0
2019-11-22,,,,,,145.48,0.0,1258.0
2019-11-21,146.15,146.15,145.175,145.5,1.075,145.525,714.0,1618.0
2019-11-20,146.8,147.0,146.5,146.6,,146.6,667.0,1838.0
2019-11-19,146.75,146.75,146.15,146.575,0.225,146.6,962.0,2035.0
2019-11-18,146.2,146.5,145.7,146.425,0.125,146.375,760.0,2204.0
2019-11-15,146.6,146.6,146.05,146.375,0.375,146.25,1115.0,2461.0
2019-11-14,145.625,146.875,145.575,146.65,1.05,146.625,710.0,2591.0
2019-11-13,148.0,148.0,145.1,145.6,2.225,145.575,2013.0,2913.0
2019-11-12,147.85,148.225,147.35,148.0,0.225,147.8,1181.0,3280.0
2019-11-11,147.15,147.85,146.95,147.6,0.575,147.575,1324.0,3716.0
2019-11-08,146.425,147.25,146.375,147.25,0.225,147.0,761.0,3874.0
2019-11-07,147.25,147.65,146.475,146.825,0.025,146.775,1863.0,4649.0
2019-11-06,147.825,147.85,146.15,147.0,1.05,146.8,2139.0,5500.0
2019-11-05,148.9,149.0,147.5,147.775,1.225,147.85,2144.0,6027.0
2019-11-04,149.05,149.275,148.15,149.25,0.05,149.075,842.0,6216.0
2019-11-01,,,,,,145.98,0.0,1540.0
2019-10-31,146.025,146.175,145.875,146.05,0.075,145.95,331.0,1710.0
2019-10-30,145.65,146.2,145.4,146.025,0.6,146.025,587.0,1725.0
2019-10-29,145.35,145.6,145.05,145.425,0.025,145.425,430.0,1850.0
2019-10-28,145.7,145.8,145.25,145.45,0.3,145.4,395.0,1910.0
2019-10-25,145.35,146.4,145.15,145.725,0.475,145.7,603.0,2129.0
2019-10-24,145.075,145.8,144.8,145.225,0.2,145.225,626.0,2173.0
2019-10-23,143.0,145.1,142.825,145.05,1.325,145.025,673.0,2397.0
2019-10-22,143.45,144.4,143.125,143.6,0.275,143.7,488.0,2588.0
2019-10-21,143.75,144.075,142.8,143.475,0.075,143.425,418.0,2689.0
2019-10-18,144.525,144.525,142.55,143.6,0.7,143.5,910.0,2988.0
2019-10-17,145.0,145.0,143.15,144.05,1.025,144.2,1381.0,3340.0
2019-10-16,144.9,145.825,144.1,145.45,0.225,145.225,803.0,3526.0
2019-10-15,145.975,146.225,144.775,145.15,0.55,145.0,881.0,3799.0
2019-10-14,144.425,146.4,144.05,145.525,1.45,145.55,1030.0,4048.0
2019-10-11,144.275,144.725,143.5,144.35,0.2,144.1,844.0,4348.0
2019-10-10,144.525,145.075,143.375,144.475,0.2,144.3,1412.0,4717.0
2019-10-09,142.3,145.425,142.225,144.5,2.475,144.5,2814.0,5691.0
2019-10-08,141.575,142.475,141.225,142.125,0.325,142.025,1010.0,6085.0
2019-10-07,142.25,142.375,141.175,141.85,0.275,141.7,1450.0,6502.0
2019-10-04,142.6,142.7,141.5,141.95,0.375,141.975,1430.0,6890.0
2019-10-03,142.5,142.6,141.675,142.45,0.275,142.35,1332.0,7373.0
2019-10-02,141.075,142.5,140.5,142.425,1.1,142.075,2451.0,8192.0
2019-10-01,142.55,142.975,140.725,140.9,1.425,140.975,2656.0,9171.0
2019-09-30,144.3,144.625,142.15,142.4,1.925,142.4,4046.0,9936.0
2019-09-27,,,,,,141.77,0.0,838.0
2019-09-26,141.6,141.7,141.475,141.5,0.075,141.5,220.0,944.0
2019-09-25,141.25,141.65,141.05,141.65,0.325,141.575,226.0,998.0
2019-09-24,141.35,141.45,141.1,141.275,0.35,141.25,434.0,1159.0
2019-09-23,140.95,141.75,140.575,141.625,1.275,141.6,524.0,1284.0
2019-09-20,140.025,140.575,139.9,140.5,0.375,140.325,706.0,1427.0
2019-09-19,139.6,140.225,139.2,140.225,0.075,139.95,450.0,1490.0
2019-09-18,138.7,139.9,138.475,139.9,0.7,139.875,625.0,1652.0
2019-09-17,136.625,139.75,136.55,139.425,2.625,139.175,1097.0,2021.0
2019-09-16,136.3,137.0,136.05,136.475,0.05,136.55,443.0,2146.0
2019-09-13,136.75,137.225,136.35,136.4,0.35,136.5,630.0,2307.0
2019-09-12,136.5,137.75,136.0,136.975,0.775,136.85,921.0,2527.0
2019-09-11,134.45,136.725,134.1,136.5,2.175,136.075,1682.0,3161.0
2019-09-10,132.325,134.85,132.0,134.425,1.075,133.9,1002.0,3445.0
2019-09-09,133.125,133.575,131.175,132.2,0.525,132.825,1595.0,3961.0
2019-09-06,134.375,134.625,132.25,133.325,1.05,133.35,1407.0,4243.0
