Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,319.0,324.0,313.0,313.0,3.5,312.5,300.0,923.0
2019-11-26,314.75,318.5,312.0,318.5,1.25,316.0,268.0,1171.0
2019-11-25,311.5,322.5,311.0,314.75,3.25,314.75,518.0,1529.0
2019-11-22,313.5,314.0,310.5,311.25,2.0,311.5,302.0,1865.0
2019-11-21,313.0,315.0,311.25,313.0,0.25,313.5,518.0,2242.0
2019-11-20,303.25,319.5,303.25,315.0,7.25,313.75,714.0,2535.0
2019-11-19,305.0,306.75,302.0,305.5,4.25,306.5,526.0,3025.0
2019-11-18,308.5,310.5,299.25,304.0,6.75,302.25,966.0,3376.0
2019-11-15,308.0,312.75,307.5,309.0,0.25,309.0,605.0,3638.0
2019-11-14,305.0,309.25,305.0,308.75,3.25,308.75,270.0,3730.0
2019-11-13,309.5,309.5,304.0,306.0,2.25,305.5,304.0,3813.0
2019-11-12,313.0,314.0,306.5,307.25,4.5,307.75,600.0,4062.0
2019-11-11,303.5,313.0,303.25,313.25,8.0,312.25,675.0,4162.0
2019-11-08,304.5,306.0,301.25,305.0,1.0,304.25,352.0,4312.0
2019-11-07,305.5,306.25,299.25,302.75,1.75,305.25,483.0,4355.0
2019-11-06,298.25,307.75,298.25,307.5,6.25,307.0,358.0,4286.0
2019-11-05,299.5,301.5,297.75,301.25,3.0,300.75,164.0,4315.0
2019-11-04,304.5,306.75,297.25,303.5,8.25,297.75,619.0,4472.0
2019-11-01,300.25,307.5,297.25,307.5,8.75,306.0,777.0,4504.0
2019-10-31,299.0,299.75,296.25,298.0,0.5,297.25,361.0,4602.0
2019-10-30,297.5,300.75,295.0,298.0,3.75,296.75,354.0,4738.0
2019-10-29,296.5,301.0,295.0,300.5,4.0,300.5,275.0,4748.0
2019-10-28,302.25,302.25,295.0,296.25,6.0,296.5,365.0,4743.0
2019-10-25,302.75,305.0,299.5,301.5,0.25,302.5,341.0,4688.0
2019-10-24,296.25,303.0,296.25,303.0,5.5,302.25,249.0,4628.0
2019-10-23,297.5,298.25,293.0,296.25,,296.75,279.0,4693.0
2019-10-22,288.75,300.0,288.25,297.75,8.25,296.75,331.0,4666.0
2019-10-21,294.25,295.75,287.25,289.25,5.75,288.5,540.0,4734.0
2019-10-18,297.0,298.75,293.75,294.5,4.5,294.25,316.0,4724.0
2019-10-17,301.5,305.75,297.0,297.0,3.75,298.75,333.0,4679.0
2019-10-16,295.25,309.0,295.25,301.5,6.0,302.5,906.0,4608.0
2019-10-15,297.0,302.0,293.0,296.5,1.25,296.5,607.0,4515.0
2019-10-14,289.5,298.0,289.25,297.75,8.5,297.75,557.0,4405.0
2019-10-11,288.0,291.5,286.5,291.0,3.5,289.25,331.0,4280.0
2019-10-10,284.0,290.25,284.0,287.0,1.25,285.75,261.0,4491.0
2019-10-09,282.5,285.0,281.0,284.5,,284.5,221.0,4521.0
2019-10-08,281.0,284.5,281.0,283.75,3.0,284.5,176.0,4527.0
2019-10-07,287.5,288.5,280.5,280.5,4.5,281.5,395.0,4586.0
2019-10-04,286.75,293.75,285.75,286.0,1.0,286.0,627.0,4459.0
2019-10-03,283.5,289.0,282.0,287.0,4.25,287.0,707.0,4342.0
2019-10-02,280.75,284.0,279.0,283.75,0.75,282.75,332.0,4360.0
2019-10-01,275.75,282.5,275.25,282.25,6.25,282.0,379.0,4374.0
2019-09-30,271.5,276.75,270.0,276.75,5.75,275.75,278.0,4463.0
2019-09-27,270.75,272.0,269.5,270.0,0.25,270.0,156.0,4441.0
2019-09-26,272.75,272.75,269.0,270.0,2.0,270.25,258.0,4474.0
2019-09-25,274.25,275.0,272.0,273.0,1.25,272.25,293.0,4492.0
2019-09-24,279.0,279.25,271.0,275.0,6.25,273.5,528.0,4547.0
2019-09-23,277.25,281.0,275.0,279.5,4.0,279.75,404.0,4532.0
2019-09-20,276.25,277.75,275.25,276.0,1.0,275.75,130.0,4573.0
2019-09-19,278.0,278.0,272.25,276.5,1.0,276.75,724.0,4559.0
2019-09-18,281.25,281.5,277.25,277.25,3.5,277.75,253.0,4640.0
2019-09-17,280.0,281.75,278.5,281.5,0.25,281.25,246.0,4624.0
2019-09-16,281.0,283.75,278.25,280.75,0.5,281.0,278.0,4606.0
2019-09-13,,,,,,290.25,0.0,0.0
2019-09-12,,,,,3.25,290.25,0.0,0.0
2019-09-11,,,,,5.25,287.0,0.0,0.0
2019-09-10,,,,,5.25,281.75,0.0,0.0
2019-09-09,,,,,0.25,276.5,0.0,0.0
2019-09-06,275.25,275.25,275.25,275.25,1.25,276.25,1.0,1.0
2019-09-05,,273.5,,273.5,11.0,275.0,0.0,1.0
2019-09-04,259.0,259.0,259.0,259.0,5.5,264.0,3.0,4.0
2019-09-03,,,,,3.75,258.5,0.0,4.0
2019-08-30,268.75,269.0,254.0,254.0,18.0,262.25,6.0,6.0
2019-08-29,267.5,283.75,267.5,282.25,26.25,280.25,13.0,11.0
2019-08-28,254.25,269.0,246.5,265.0,2.25,254.0,31.0,37.0
2019-08-27,257.5,258.75,252.0,255.75,6.75,256.25,16.0,42.0
2019-08-26,268.0,269.75,259.25,264.25,1.75,263.0,43.0,76.0
2019-08-23,265.0,265.0,261.25,264.75,0.5,264.75,21.0,134.0
2019-08-22,268.25,270.25,261.0,265.5,6.25,265.25,66.0,186.0
2019-08-21,271.25,274.5,270.25,271.5,1.25,271.5,15.0,191.0
2019-08-20,270.75,274.0,270.0,270.0,2.5,272.75,88.0,268.0
2019-08-19,281.5,282.0,270.0,270.0,10.0,270.25,158.0,373.0
2019-08-16,275.0,281.0,275.0,281.0,5.5,280.25,40.0,399.0
2019-08-15,276.0,278.25,272.5,275.0,2.0,274.75,68.0,413.0
2019-08-14,270.75,280.75,270.0,275.75,5.0,276.75,80.0,439.0
2019-08-13,271.25,272.0,268.0,271.75,,271.75,45.0,463.0
2019-08-12,274.0,275.75,269.75,271.25,3.0,271.75,110.0,483.0
2019-08-09,275.75,275.75,273.25,274.5,,274.75,33.0,485.0
2019-08-08,270.0,275.0,270.0,274.0,5.75,274.75,55.0,507.0
2019-08-07,268.75,269.25,265.0,269.0,3.25,269.0,40.0,522.0
2019-08-06,264.5,267.0,264.5,265.25,,265.75,64.0,548.0
2019-08-05,270.0,270.0,261.25,265.5,0.25,265.75,74.0,587.0
2019-08-02,260.0,271.5,258.75,267.0,7.0,265.5,131.0,650.0
2019-08-01,257.0,261.0,257.0,260.0,2.5,258.5,224.0,769.0
2019-07-31,256.5,257.0,255.0,256.75,1.5,256.0,272.0,925.0
2019-07-30,259.0,260.25,256.0,257.75,1.25,257.5,162.0,1026.0
2019-07-29,256.75,262.75,256.5,258.75,1.25,258.75,130.0,1059.0
2019-07-26,264.0,265.0,257.25,257.5,6.0,257.5,182.0,1063.0
2019-07-25,266.5,267.75,262.5,263.75,1.25,263.5,93.0,1036.0
2019-07-24,267.0,270.0,264.5,264.5,1.25,264.75,97.0,1028.0
2019-07-23,267.25,269.25,264.75,266.5,0.75,266.0,67.0,1034.0
2019-07-22,275.5,276.25,266.0,267.0,5.0,266.75,64.0,1021.0
2019-07-19,269.0,276.0,269.0,274.0,3.0,271.75,114.0,1018.0
2019-07-18,278.25,278.25,269.25,268.0,3.5,274.75,83.0,1028.0
2019-07-17,275.25,282.25,274.5,279.0,2.5,278.25,121.0,999.0
2019-07-16,280.25,281.0,275.0,275.75,5.5,275.75,56.0,1013.0
2019-07-15,282.0,282.75,278.0,281.5,0.25,281.25,59.0,1005.0
2019-07-12,,,,,,281.0,0.0,0.0
2019-07-11,,,,,5.25,281.0,2.0,1.0
2019-07-10,,,,,1.75,275.75,0.0,1.0
2019-07-09,,,,,2.5,274.0,0.0,1.0
2019-07-08,,,,,1.5,276.5,0.0,2.0
2019-07-05,,,,,9.5,275.0,1.0,2.0
2019-07-03,289.25,289.25,289.25,289.25,0.5,284.5,1.0,4.0
2019-07-02,,,,,3.75,285.0,2.0,3.0
2019-07-01,,,,,8.25,281.25,0.0,4.0
2019-06-28,274.0,274.25,274.0,274.0,5.0,273.0,2.0,7.0
2019-06-27,278.25,288.5,271.5,279.5,0.75,278.0,146.0,126.0
2019-06-26,274.0,282.0,270.25,277.25,5.75,277.25,221.0,434.0
2019-06-25,276.25,278.75,270.0,272.25,1.0,271.5,204.0,579.0
2019-06-24,279.25,279.25,268.0,271.5,8.5,270.5,631.0,1033.0
2019-06-21,284.0,286.75,275.25,279.0,4.75,279.0,779.0,1504.0
2019-06-20,285.75,288.5,283.25,288.0,1.75,283.75,556.0,2138.0
2019-06-19,294.25,297.5,285.0,290.0,12.0,285.5,1368.0,2977.0
2019-06-18,301.25,301.25,295.0,298.0,,297.5,448.0,3191.0
2019-06-17,303.25,307.75,296.0,299.5,5.25,297.5,609.0,3360.0
2019-06-14,304.75,312.75,300.25,300.25,1.75,302.75,642.0,3619.0
2019-06-13,300.75,306.0,294.75,304.75,4.0,304.5,695.0,3860.0
2019-06-12,304.5,307.25,299.75,301.25,3.25,300.5,458.0,4230.0
2019-06-11,297.5,305.5,293.5,304.5,8.75,303.75,576.0,4419.0
2019-06-10,296.0,296.5,291.75,298.75,1.0,295.0,507.0,4590.0
2019-06-07,298.25,300.25,294.5,295.25,4.25,296.0,293.0,4676.0
2019-06-06,291.0,301.75,290.0,301.0,8.5,300.25,447.0,4871.0
2019-06-05,304.0,304.0,291.0,293.0,12.25,291.75,862.0,5128.0
2019-06-04,312.0,312.25,301.75,305.0,1.25,304.0,282.0,5127.0
2019-06-03,317.0,319.0,304.25,306.75,9.25,305.25,815.0,5347.0
2019-05-31,318.0,319.75,312.25,315.5,3.5,314.5,556.0,5493.0
2019-05-30,314.5,320.75,313.25,319.75,3.0,318.0,463.0,5575.0
2019-05-29,316.5,325.0,306.75,313.75,1.75,315.0,653.0,5554.0
2019-05-28,310.25,318.5,310.0,319.25,8.25,316.75,374.0,5557.0
2019-05-24,305.5,313.75,305.25,309.0,4.0,308.5,390.0,5513.0
2019-05-23,310.25,319.75,303.75,303.75,5.75,304.5,640.0,5405.0
2019-05-22,313.0,322.75,309.0,308.75,1.75,310.25,1449.0,4997.0
2019-05-21,297.25,309.0,296.5,309.0,12.0,308.5,691.0,4735.0
2019-05-20,293.0,298.0,292.0,296.75,2.5,296.5,278.0,4680.0
2019-05-17,297.0,298.0,293.25,293.75,0.25,294.0,237.0,4661.0
2019-05-16,288.0,296.25,288.0,296.25,6.5,294.25,347.0,4600.0
2019-05-15,286.0,292.0,284.5,287.75,1.75,287.75,270.0,4626.0
2019-05-14,270.0,270.0,270.0,270.0,29.75,270.0,2.0,0.0
2019-05-13,,,,,3.0,299.75,0.0,0.0
2019-05-10,,,,,4.25,302.75,0.0,2.0
2019-05-09,298.75,298.75,298.75,298.75,3.5,298.5,2.0,2.0
2019-05-08,295.0,295.0,294.5,294.5,0.25,295.0,3.0,5.0
2019-05-07,,,,,0.25,295.25,0.0,10.0
2019-05-06,298.0,298.0,291.5,291.5,5.75,295.5,9.0,21.0
2019-05-03,301.5,301.5,301.25,301.5,3.5,301.25,4.0,21.0
