Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2020-02-14,174.29,174.59,174.1,174.48,470649.0,1517578.0
2020-02-13,174.16,174.64,174.05,174.27,879840.0,1643230.0
2020-02-12,174.17,174.2,173.72,174.02,737949.0,1629950.0
2020-02-11,174.48,174.55,174.13,174.26,766465.0,1600695.0
2020-02-10,174.33,174.69,174.01,174.57,500705.0,1528568.0
2020-02-07,173.87,174.42,173.84,174.18,725074.0,1597287.0
2020-02-06,173.71,173.96,173.42,173.82,762856.0,1644648.0
2020-02-05,174.33,174.63,173.65,173.92,947840.0,1693188.0
2020-02-04,175.06,175.07,174.25,174.53,837828.0,1671156.0
2020-02-03,175.1,175.14,174.62,174.88,692500.0,1630103.0
2020-01-31,174.29,175.3,174.16,175.04,763628.0,1628386.0
2020-01-30,174.23,174.65,174.23,174.57,761982.0,1598634.0
2020-01-29,173.66,174.28,173.41,174.06,628557.0,1572792.0
2020-01-28,174.11,174.48,173.48,173.68,885015.0,1654904.0
2020-01-27,173.75,174.27,173.41,174.23,892313.0,1693224.0
2020-01-24,172.82,173.54,172.6,173.28,812604.0,1699761.0
2020-01-23,172.41,173.09,172.35,173.03,765002.0,1676074.0
2020-01-22,172.04,172.5,171.91,172.33,584939.0,1600104.0
2020-01-21,171.75,172.27,171.55,172.21,752505.0,1659510.0
2020-01-20,171.76,171.76,171.52,171.67,233912.0,1476035.0
2020-01-17,171.66,171.82,171.46,171.61,484597.0,1543161.0
2020-01-16,171.62,171.8,171.35,171.72,637672.0,1621407.0
2020-01-15,171.05,171.72,171.01,171.46,672851.0,1659434.0
2020-01-14,170.74,171.08,170.65,171.01,694216.0,1681953.0
2020-01-13,171.36,171.43,170.71,170.76,611475.0,1608893.0
2020-01-10,171.31,171.43,170.85,171.35,555738.0,1576473.0
2020-01-09,171.31,171.51,171.01,171.14,732941.0,1619940.0
2020-01-08,172.5,173.22,171.26,171.78,825675.0,1630755.0
2020-01-07,172.21,172.31,171.91,172.12,582593.0,1559645.0
2020-01-06,172.45,172.6,172.07,172.24,496413.0,1534904.0
2020-01-03,171.1,172.38,171.1,172.12,528221.0,1534645.0
2020-01-02,170.54,171.42,170.19,171.26,509178.0,1530763.0
2019-12-31,0.0,0.0,0.0,170.49,0.0,1358717.0
2019-12-30,171.58,171.68,170.42,170.49,360676.0,1473575.0
2019-12-27,171.69,171.79,171.42,171.61,168137.0,1395109.0
2019-12-24,0.0,0.0,0.0,171.43,0.0,1339373.0
2019-12-23,171.56,171.88,171.3,171.43,193933.0,1396258.0
2019-12-20,171.26,171.63,171.06,171.54,304511.0,1457462.0
2019-12-19,171.6,171.66,170.9,171.28,562470.0,1496173.0
2019-12-18,172.11,172.4,171.35,171.48,485077.0,1473689.0
2019-12-17,172.03,172.29,171.96,172.13,417672.0,1453978.0
2019-12-16,172.16,172.43,171.8,171.92,511324.0,1482457.0
2019-12-13,171.23,172.31,170.75,172.1,729472.0,1558087.0
2019-12-12,172.7,172.99,171.61,171.75,665976.0,1548879.0
2019-12-11,172.31,172.88,172.17,172.63,431703.0,1442282.0
2019-12-10,172.34,172.45,172.07,172.23,488016.0,1472986.0
2019-12-09,172.1,172.59,172.02,172.37,374594.0,1403430.0
2019-12-06,172.18,172.44,171.83,172.09,566308.0,1450620.0
2019-12-05,170.7,170.84,170.06,170.32,147383.0,149546.0
2019-12-04,171.06,171.31,170.56,170.7,966680.0,557389.0
2019-12-03,170.02,171.14,169.74,171.04,1645820.0,1449356.0
2019-12-02,170.99,171.0,169.85,169.92,1684294.0,1748322.0
2019-11-29,171.29,171.4,170.91,171.07,884112.0,1431165.0
2019-11-28,171.42,171.6,171.16,171.26,486681.0,1409085.0
2019-11-27,171.3,171.52,171.13,171.35,639286.0,1474587.0
2019-11-26,171.04,171.49,170.88,171.45,497717.0,1443412.0
2019-11-25,171.15,171.24,170.94,171.09,473056.0,1496136.0
2019-11-22,170.65,171.27,170.31,171.24,687670.0,1613066.0
2019-11-21,171.24,171.35,170.56,170.75,686084.0,1586629.0
2019-11-20,171.0,171.56,170.95,171.09,703989.0,1626595.0
2019-11-19,170.84,171.0,170.66,170.91,448277.0,1529662.0
2019-11-18,170.89,171.06,170.55,170.84,481696.0,1556704.0
2019-11-15,170.92,171.05,170.65,170.85,413777.0,1551432.0
2019-11-14,170.26,171.15,170.26,170.99,620539.0,1659579.0
2019-11-13,169.75,170.45,169.67,170.36,703016.0,1678168.0
2019-11-12,169.67,169.83,169.26,169.54,576490.0,1661336.0
2019-11-11,169.64,169.99,169.46,169.56,350119.0,1559507.0
2019-11-08,169.4,169.89,169.12,169.69,693212.0,1678898.0
2019-11-07,170.87,170.97,169.17,169.57,1142561.0,1810125.0
2019-11-06,170.45,170.94,170.22,170.67,567253.0,1645337.0
2019-11-05,170.9,170.95,170.3,170.53,736200.0,1671556.0
2019-11-04,171.47,171.47,170.91,170.99,449131.0,1565309.0
2019-11-01,171.84,171.99,171.35,171.42,485299.0,1577301.0
2019-10-31,171.24,172.03,171.17,171.76,723716.0,1686203.0
2019-10-30,171.05,171.36,170.79,171.06,520842.0,1630376.0
2019-10-29,170.68,171.14,170.6,171.04,507309.0,1596523.0
2019-10-28,171.26,171.35,170.56,170.7,569508.0,1600685.0
2019-10-25,171.67,171.8,171.12,171.35,480486.0,1627374.0
2019-10-24,171.55,171.96,171.16,171.83,705591.0,1632652.0
2019-10-23,171.68,171.93,171.44,171.67,490851.0,1559737.0
2019-10-22,170.88,171.73,170.76,171.42,533814.0,1610051.0
2019-10-21,171.45,171.46,170.78,170.89,432770.0,1558165.0
2019-10-18,171.73,171.88,171.24,171.49,441619.0,1561661.0
2019-10-17,171.64,171.93,170.73,171.72,845835.0,1720923.0
2019-10-16,171.72,172.29,171.37,171.58,884388.0,1720216.0
2019-10-15,172.57,172.82,171.63,171.89,742153.0,1659016.0
2019-10-14,172.38,172.94,172.32,172.58,405054.0,1544468.0
2019-10-11,172.67,173.15,172.08,172.39,951592.0,1717488.0
2019-10-10,174.06,174.14,172.57,173.0,793955.0,1666432.0
